번호,상세영업상태명,인허가일자,폐업일자,시설총규모,소재지전체주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),영업장주변구분명,lon,lat
1672215,폐업,19921104,20100112,217,경상남도 양산시 북부동 480-6번지 ,에너지산곰장어,한식,385065.6213,207160.6792,,129.0365474,35.34676686
1715886,폐업,19960530,20100112,112.24,경기도 광주시 초월읍 대쌍령리 368-1번지 ,체리,호프/통닭,225056.0302,432285.9736,,127.2837389,37.39232733
1706777,폐업,20050907,20100112,111.46,경기도 화성시 진안동 860-1번지 ,황소골 본가,한식,203318.8806,412604.1779,주택가주변,127.0381826,37.21531976
1715746,폐업,19910403,20100112,65.64,경기도 광주시 곤지암읍 삼리 403-1번지 ,밤골가든,한식,228765.3749,428147.3386,,127.3254663,37.35493069
1715333,폐업,19880601,20100112,119.7,경기도 광주시 곤지암읍 곤지암리 460-5번지 ,아시아나인터내셔널,한식,230130.1857,427534.0184,,127.3408459,37.34936145
1715737,폐업,19910114,20100112,30.14,경기도 광주시 곤지암읍 곤지암리 345-1번지 ,탑스치킨,한식,230428.4371,427536.9523,,127.3442121,37.34937818
1715113,폐업,19930728,20100112,85.48,경기도 광주시 퇴촌면 우산리 33번지 ,소설악,한식,231338.2942,437493.4154,,127.3549017,37.43905552
1715052,폐업,19900302,20100112,17.42,경기도 광주시 도척면 진우리 476-1번지 ,이색까페,한식,229754.536,424589.9306,,127.3364885,37.32284705
1716342,폐업,19971101,20100112,279,경기도 광주시 도척면 노곡리 48-10번지 ,월추산장,한식,229099.8751,422935.501,,127.3290379,37.30796111
1715413,폐업,19941128,20100112,274.75,경기도 광주시 곤지암읍 곤지암리 434-2번지 ,바다회집,일식,230262.5436,427588.9673,,127.342342,37.34985225
1577322,폐업,19961016,20100112,90.38,경상북도 영천시 야사동 242-4번지 ,청송흑돼지숯불본점,한식,375325.1327,276351.3773,,128.9445011,35.97176775
1705812,폐업,19970715,20100112,74.82,경기도 화성시 영천동 651-1712번지 ,맛김치 백반,한식,,,,inf,inf
1715545,폐업,19941223,20100112,98.47,경기도 광주시 곤지암읍 열미리 518번지 ,대길건강마을,한식,231999.3757,427440.1782,,127.3619376,37.34845356
1631234,폐업,19931230,20100112,17.36,경상남도 통영시 용남면 동달리 750-7번지 ,미향식당,한식,331989.4809,153189.1855,기타,128.4443059,34.86886375
1715177,폐업,19951006,20100112,71,경기도 광주시 도척면 상림리 30번지 ,곤지암도시락,한식,228179.1483,422900.7043,,127.3186509,37.30767587
1768017,폐업,20060718,20100112,32.24,경상남도 창원시 마산합포구 완월동 421번지 청구제네스상가 108동103호 ,엄마손분식,분식,341812.6247,189790.2494,아파트지역,128.5579436,35.19733255
1598386,폐업,20090527,20100112,0,경상북도 영덕군 영해면 성내리 467-10번지 ,부흥룸소주방,기타,415427.7247,340312.2428,,129.4063667,36.53965218
1716417,폐업,20000929,20100112,87.46,경기도 광주시 곤지암읍 삼리 264-2번지 ,향촌해물탕,한식,227834.964,428126.2775,,127.3149641,37.35476922
1716268,폐업,19980718,20100112,148.49,경기도 광주시 초월읍 지월리 713-2번지 ,제이.엘.하이랜드,한식,224382.1536,434901.1406,,127.2762151,37.41590798
1710311,폐업,20071031,20100112,138.44,경기도 화성시 병점동 844-7번지 (상록프라자201호) ,종가대박집,한식,203863.371,412562.8135,기타,127.0443167,37.21494499
1716764,폐업,19981226,20100112,32.26,경기도 광주시 곤지암읍 곤지암리 453-48번지 ,삽다리25시,한식,,,,inf,inf
1713188,폐업,20080529,20100112,131.2,경기도 화성시 봉담읍 수기리 7-141번지 ,콩밭 1,한식,198551.1166,411048.1296,,126.9844709,37.20130354
1717471,폐업,20050923,20100112,195,경기도 광주시 오포읍 신현리 701번지 외15필지 ,문경약돌돼지,식육(숯불구이),213543.8201,428695.1967,,127.1536706,37.3602127
1717505,폐업,20020708,20100112,20,경기도 광주시 곤지암읍 삼리 42-1번지 ,도토치킨,기타,229660.9012,427170.4263,,127.3355351,37.34610053
1612739,폐업,19980220,20100112,40.12,경상북도 울진군 울진읍 읍내리 211-5번지 ,한솔식당,한식,413414.1074,389799.7781,기타,129.3977277,36.98565285
1763876,폐업,20070821,20100112,25.16,경상남도 창원시 마산회원구 회원동 399-2번지 ,옛날손짜장,중국식,342791.6767,192227.4017,,128.5691123,35.21915289
1713223,폐업,20081009,20100112,89.2,경기도 화성시 진안동 885-1번지 ,목로주점,호프/통닭,203446.2033,412152.4005,기타,127.039615,37.2112486
1574683,폐업,20031202,20100112,93.6,"경상북도 영주시 휴천동 1777번지 남산현대아파트상가동(201,202,203호) ",남산솥뚜껑삼겹살,식육(숯불구이),345507.1871,368348.2056,,128.6312721,36.80537858
1716534,폐업,19980612,20100112,352.62,경기도 광주시 경안동 73-16번지 ,컬쳐클럽,호프/통닭,222628.2275,434507.6422,,127.2563906,37.41240692
